Datum,Name,Kurs *,Währung,2018,2017,2016,2015,2014,2013
29.03.2019,Valora AG,"274,5",CHF,"12,5","12,5","12,5","12,5","12,5","12,5"
29.03.2019,Villeroy & Boch AG,"15,48",EUR,"0,6","0,57","0,53","0,49","0,44","0,42"
29.03.2019,Telecom Italia S.p.A.,"0,55",EUR,0,"0,03","0,03","0,03","0,03","0,03"
29.03.2019,Genmab A-S,"1.155,00",DKK,,,0,0,0,0
29.03.2019,Lundin Petroleum ABShs,"314,8",USD,"1,48","0,49",0,0,0,0
29.03.2019,KPS AG,"8,26",EUR,"0,35","0,35","0,33","0,3","0,28","0,22"
29.03.2019,St.Modwen Properties PLC,"3,97",GBP,"0,07","0,06","0,06","0,05","0,04","0,04"
29.03.2019,ALSO AG,"128,8",EUR,"2,64","2,39","2,11","1,71","1,51","1,15"
29.03.2019,Energiedienst Holding AG,30,EUR,"0,75","0,85","0,93","0,93","1,39","1,22"
31.03.2019,TietoEnator Oyj,,EUR,"1,25","1,2","1,15","1,1",1,"0,9"
01.04.2019,BELIMO AG,"5.070,00",CHF,100,85,75,65,65,65
01.04.2019,Broadcom Inc Registered Shs,"305,79",USD,7,"4,08","1,94","1,55","1,13","0,8"
01.04.2019,Clariant AG (N),"21,36",CHF,"0,55","0,5","0,45","0,4","0,4","0,36"
02.04.2019,Neste Oil Oyj,,EUR,"2,28","1,7","1,3",1,"0,65","0,65"
02.04.2019,Mobimo AG,251,CHF,,10,10,10,"9,5","9,5"
02.04.2019,Vontobel AG (N),"54,8",CHF,"2,1","2,1",2,"1,85","1,55","1,3"
02.04.2019,A.P. Moeller - Maersk A-S (B),"8.854,00",USD,23,24,21,44,49,"49,84"
02.04.2019,SNAM S.p.A.,"4,61",EUR,"0,23","0,22","0,21","0,25","0,25","0,25"
02.04.2019,Swisscom AG,"493,8",CHF,22,22,22,22,22,22
02.04.2019,Bank of Montreal,"102,14",CAD,"3,78","3,56","3,4","3,24","3,08","2,94"
02.04.2019,A.P. Moeller - Maersk A-S (A),"8.480,00",USD,23,24,21,44,49,"49,84"
02.04.2019,Newron Pharmaceuticals S.p.A.Az.,"9,11",EUR,0,0,0,0,0,0
03.04.2019,Hewlett Packard Enterprise Co.,,USD,"0,49","0,26","0,17",0,,
03.04.2019,McColl's Retail Group plc,"0,84",GBP,"0,04","0,1","0,1","0,1","0,09",0
03.04.2019,Topdanmark A-S,"349,2",DKK,15,19,0,0,0,0
03.04.2019,Volvo AB (B),"153,35",SEK,5,"4,25","3,25",3,3,3
03.04.2019,Geberit AG (N),"411,7",CHF,"10,8","10,4",10,"8,4","8,3","7,5"
03.04.2019,Zurich Insurance AG (Zürich),335,USD,"19,33","18,47","16,68","17,21","17,2","19,16"
03.04.2019,Schlumberger N.V. (Ltd.),"43,59",USD,2,2,2,2,"1,6","1,25"
03.04.2019,Sulzer AG (N),"100,9",CHF,"3,5","3,5","3,5","3,5","3,5","3,2"
03.04.2019,Volvo AB (A),"154,5",SEK,5,"4,25","3,25",3,3,3
03.04.2019,Vestas Wind Systems A-S,"595,2",EUR,1,"1,24","1,31","0,91","0,52",0
03.04.2019,Elisa Oyj,,EUR,"1,75","1,65","1,5","1,4","1,32","1,3"
03.04.2019,Lundbergfoeretagen AB (B),"306,4",SEK,"3,2",3,"2,8","2,65","2,5","2,3"
03.04.2019,COLTENE AG,"98,2",CHF,3,3,"2,7","2,2","2,5","2,2"
03.04.2019,Nebelhornbahn AG,"38,8",EUR,"0,2","0,3","0,2","0,2","0,25","0,3"
04.04.2019,Bobst S.A. (N),"64,3",CHF,"1,5","2,6","1,7","1,25","1,25","0,75"
04.04.2019,Dinkelacker AG,"1.760,00",EUR,20,18,18,18,17,17
04.04.2019,SES Global S.A. (Bearer FDRS),,EUR,"0,8","0,8","1,34","1,3","1,18","1,07"
04.04.2019,UPM-Kymmene Oyj (UPM-Kymmene Corp.),,EUR,"1,3","1,15","0,95","0,75","0,7","0,6"
04.04.2019,Rieter AG (N),"155,5",CHF,5,5,5,"4,5","4,5","3,5"
04.04.2019,PSP Swiss Property AG,"107,2",CHF,"3,5","3,4","3,35","3,3","3,25","3,25"
04.04.2019,Scottish American Investment Co PLC,,GBP,"0,12","0,11","0,11","0,11","0,11","0,1"
04.04.2019,Intershop,515,CHF,22,22,20,20,20,20
04.04.2019,mobilezone ag,"10,08",CHF,"0,6","0,6","0,6","0,6","0,6",0
